asm2992 : 45
del824 : 45
ah45755 : 48
ahp536 : 48
jl53749 : 50 
kw25779 : 50
gc24654 : 50
am46882 : 50
ajl3287 : 45
br24964 : 45
sik249 : 47
crg2957 : 47
man2766 : 47
nng263 : 47
kw26853 : 47
cg37877 : 43
svp395 : 43
ry3583 : 47
amf3489 : 47
rac4444 : 50
tg22698 : 50
hx936 : 43
dc37875 : 43
ktt444 : 48
klh3637 : 48
kj62786 : 50
ct26756 : 50
vd4282 : 48
kbg488 : 48
cbc2298 : 48
av28837 : 50
rg36763 : 50
ksm2464 : 45
mh43862 : 45
ta9887 : 48
mjo558 : 48
jcc4969 : 45
hng298 : 45
mha664 : 48
rob329 : 48
kl27694 : 48
ks43639 : 48
jdk2595 : 46
aed2395 : 46
azm259 : 48
zam374 : 48
emd925 : 50
ptd328 : 50
gpz68 : 47
db37299 : 47
gg25488 : 45
dk23765 : 45
sjs4367 : 50
rps945 : 50
jtk764 : 50
rm48763 : 50
arg3532 : 50
rp32839 : 50
ksv293 : 48
cj23478 : 48
vks377 : 48
rsr873 : 48
kc28535 : 48
ahp473 : 48
adk882 : 48
mi4467 : 48
ssn425 : 43
jc74593 : 43
amb4849 : 48
jlw4699 : 48
knk689 : 50
ml4285 : 50
mmt2338 : 50
kd24494 : 50
bsk524 : 50
cv7999 : 50
kmb3534 : 48
sty223 : 48
skk834 : 48
svm456 : 48
sk38422 : 50
gd7448 : 50
as76696 : 48
aag3639 : 48
dzc88 : 43
ass962 : 43
xl5587 : 50
kyc375 : 50
kgl392 : 50
skt638 : 50
apl652 : 50
rs48368 : 50
cz4723 : 50
bdz223 : 48
gmb974 : 48
at35236 : 48
chy253 : 50
gbl286 : 50
ll28379 : 48
ecl625 : 48
